anode,cathode,electrolyte,energy_density,is_high_performance
Lithium-Metal,Li-Rich NMC 811,Liquid,419.7153280715104,1
Lithium-Metal,LFP,Liquid,342.84544784612035,1
Lithium-Metal,NCA,Liquid,384.18561938300206,1
Lithium-Metal,LFP,LLZO,315.15772927209787,0
Graphite,LFP,Polymer,231.93567180519025,0
Silicon-Dominant (Si),Li-Rich NMC 811,LLZO,363.08072451421896,1
Lithium-Metal,NCA,Liquid,373.5793090373565,1
Lithium-Metal,LFP,Polymer,298.8638974432124,0
Lithium-Metal,LFP,Liquid,322.13696903579984,0
Silicon-Dominant (Si),NCA,LLZO,309.480217236586,0
Lithium-Metal,NCA,LLZO,355.5990128046201,1
Silicon-Dominant (Si),LFP,Polymer,259.55242145960375,0
Graphite,Li-Rich NMC 811,Polymer,304.36551001893275,0
Lithium-Metal,NCA,LLZO,350.46660389588044,1
Lithium-Metal,NCA,Polymer,352.1026265576636,1
Graphite,LFP,Polymer,203.86422147414103,0
Graphite,LFP,Polymer,177.3249862976444,0
Graphite,NCA,Liquid,264.34155387647746,0
Graphite,NCA,LLZO,263.95229060345315,0
Graphite,Li-Rich NMC 811,LLZO,314.62656674021116,0
Silicon-Dominant (Si),Li-Rich NMC 811,Liquid,331.86484841690225,0
Lithium-Metal,NCA,Liquid,359.4982679167055,1
Silicon-Dominant (Si),NCA,Liquid,317.4117371516604,0
Lithium-Metal,Li-Rich NMC 811,Polymer,395.36181436223177,1
Silicon-Dominant (Si),NCA,Liquid,348.1825851319969,1
Graphite,NCA,Liquid,298.5024520681459,0
Silicon-Dominant (Si),NCA,LLZO,295.99355738631925,0
Graphite,NCA,Liquid,291.7631228148091,0
Silicon-Dominant (Si),NCA,Liquid,327.74199212610324,0
Lithium-Metal,NCA,Liquid,365.51663492157536,1
Silicon-Dominant (Si),Li-Rich NMC 811,Polymer,354.46475672762523,1
Lithium-Metal,NCA,LLZO,344.57826344118695,1
Silicon-Dominant (Si),NCA,Liquid,340.5747196699908,1
Graphite,Li-Rich NMC 811,Polymer,305.41385066386704,0
Silicon-Dominant (Si),Li-Rich NMC 811,Polymer,327.7636362971163,0
Graphite,LFP,Liquid,216.56728725641474,0
Graphite,NCA,LLZO,249.46920359183972,0
Silicon-Dominant (Si),NCA,Polymer,315.08506780103346,0
Silicon-Dominant (Si),Li-Rich NMC 811,LLZO,326.9454256815839,0
Lithium-Metal,Li-Rich NMC 811,Polymer,392.40035170552716,1
Silicon-Dominant (Si),Li-Rich NMC 811,Liquid,346.3951916189268,1
Lithium-Metal,LFP,LLZO,287.73968767315756,0
Silicon-Dominant (Si),LFP,LLZO,237.3097447531644,0
Lithium-Metal,LFP,Liquid,307.66265946829907,0
Silicon-Dominant (Si),Li-Rich NMC 811,LLZO,339.0343292379855,0
Lithium-Metal,Li-Rich NMC 811,LLZO,395.1735350256709,1
Silicon-Dominant (Si),NCA,Polymer,319.4793234544214,0
Graphite,NCA,Liquid,262.469829435707,0
Lithium-Metal,NCA,LLZO,347.9725823497546,1
Graphite,LFP,Polymer,230.76023578399017,0
Lithium-Metal,NCA,LLZO,360.421491950223,1
Silicon-Dominant (Si),NCA,Liquid,312.0436940499255,0
Lithium-Metal,LFP,Liquid,311.9575984973147,0
Lithium-Metal,Li-Rich NMC 811,LLZO,406.44793284742326,1
Lithium-Metal,LFP,LLZO,317.53811470428934,0
Graphite,NCA,Liquid,293.0997545363414,0
Graphite,LFP,Liquid,210.61575557150604,0
Silicon-Dominant (Si),Li-Rich NMC 811,Polymer,342.16307780701123,1
Silicon-Dominant (Si),LFP,LLZO,253.89824191372634,0
Silicon-Dominant (Si),Li-Rich NMC 811,Liquid,371.7273430766596,1
Lithium-Metal,NCA,Polymer,379.2646126826672,1
Lithium-Metal,Li-Rich NMC 811,Polymer,418.25606195470164,1
Graphite,NCA,Polymer,255.2192730431147,0
Graphite,LFP,Liquid,203.5908938639729,0
Silicon-Dominant (Si),Li-Rich NMC 811,LLZO,339.92714583023456,0
Lithium-Metal,NCA,LLZO,354.25015040601147,1
Silicon-Dominant (Si),NCA,Liquid,310.22144758862834,0
Graphite,LFP,Polymer,220.80580863057295,0
Silicon-Dominant (Si),NCA,Polymer,317.8865216829897,0
Silicon-Dominant (Si),LFP,LLZO,263.0824278903018,0
Lithium-Metal,Li-Rich NMC 811,LLZO,389.9295600798966,1
Lithium-Metal,Li-Rich NMC 811,LLZO,366.43782024708577,1
Graphite,Li-Rich NMC 811,Polymer,296.64805822011226,0
Silicon-Dominant (Si),Li-Rich NMC 811,LLZO,350.71000741138135,1
Silicon-Dominant (Si),LFP,LLZO,255.04598145679378,0
Lithium-Metal,Li-Rich NMC 811,LLZO,390.7594471637275,1
Lithium-Metal,Li-Rich NMC 811,Liquid,413.21140616195305,1
Lithium-Metal,LFP,Polymer,291.3139183193202,0
Lithium-Metal,LFP,Polymer,310.87313077669,0
Graphite,LFP,LLZO,182.85544553254064,0
Silicon-Dominant (Si),Li-Rich NMC 811,Liquid,366.746610577331,1
Graphite,NCA,Polymer,296.6838651582894,0
Lithium-Metal,LFP,LLZO,289.00573297434414,0
Lithium-Metal,Li-Rich NMC 811,LLZO,392.9301970882046,1
Silicon-Dominant (Si),LFP,Polymer,255.2709613303948,0
Graphite,LFP,Liquid,231.384538307399,0
Lithium-Metal,LFP,Liquid,354.71987850010265,1
Silicon-Dominant (Si),LFP,Polymer,231.99102211112378,0
Graphite,LFP,LLZO,186.60319589556167,0
Silicon-Dominant (Si),Li-Rich NMC 811,LLZO,334.977741289079,0
Lithium-Metal,LFP,LLZO,294.38217661364297,0
Lithium-Metal,NCA,LLZO,340.6317583029573,1
Graphite,LFP,Polymer,208.3920828725831,0
Lithium-Metal,LFP,Liquid,312.70674071370314,0
Graphite,Li-Rich NMC 811,Polymer,288.4227138336487,0
Graphite,LFP,LLZO,224.91952595912232,0
Lithium-Metal,LFP,Polymer,312.75783271614335,0
Silicon-Dominant (Si),NCA,Liquid,338.66845702648254,0
Silicon-Dominant (Si),LFP,LLZO,227.2094505106898,0
Lithium-Metal,Li-Rich NMC 811,Polymer,392.7364889070062,1
Silicon-Dominant (Si),Li-Rich NMC 811,Polymer,360.48638572789986,1
Silicon-Dominant (Si),LFP,Polymer,268.99844950566506,0
Silicon-Dominant (Si),NCA,Polymer,343.14601477788625,1
Graphite,NCA,Polymer,289.8489571072686,0
Graphite,NCA,Polymer,317.8055000710945,0
Silicon-Dominant (Si),NCA,Polymer,321.2624528151188,0
Silicon-Dominant (Si),NCA,Polymer,304.48396465271475,0
Silicon-Dominant (Si),NCA,Liquid,333.0642441300199,0
Silicon-Dominant (Si),NCA,LLZO,314.21487801602547,0
Silicon-Dominant (Si),LFP,LLZO,240.6595072026911,0
Graphite,LFP,Polymer,191.42653723277476,0
Lithium-Metal,LFP,LLZO,287.6302300852339,0
Graphite,Li-Rich NMC 811,Liquid,315.4302086791371,0
Silicon-Dominant (Si),Li-Rich NMC 811,LLZO,348.7197120105359,1
Graphite,Li-Rich NMC 811,LLZO,318.05635846723277,0
Lithium-Metal,LFP,LLZO,325.3202554855337,0
Lithium-Metal,NCA,Polymer,346.98902321951607,1
Lithium-Metal,Li-Rich NMC 811,Liquid,415.44604405005964,1
Silicon-Dominant (Si),NCA,LLZO,319.4927865607407,0
Silicon-Dominant (Si),LFP,LLZO,216.18761980723576,0
Lithium-Metal,NCA,LLZO,353.8306411401028,1
Graphite,NCA,Liquid,294.76035316844633,0
Graphite,NCA,LLZO,263.0286116270419,0
Lithium-Metal,Li-Rich NMC 811,LLZO,377.92894972386756,1
Lithium-Metal,Li-Rich NMC 811,Liquid,409.8162984072963,1
Lithium-Metal,LFP,Liquid,306.54118442771255,0
Graphite,Li-Rich NMC 811,Liquid,305.3636123620462,0
Graphite,NCA,LLZO,272.0571957706439,0
Graphite,LFP,LLZO,193.5004488964616,0
Graphite,NCA,Polymer,273.057340912912,0
Graphite,Li-Rich NMC 811,LLZO,268.27873487754016,0
Silicon-Dominant (Si),NCA,Liquid,308.88804338435165,0
Silicon-Dominant (Si),Li-Rich NMC 811,Polymer,347.54202104805546,1
Graphite,NCA,Liquid,307.9116708117875,0
Graphite,LFP,Liquid,219.71475688145966,0
Silicon-Dominant (Si),LFP,Polymer,244.96205953043287,0
Graphite,Li-Rich NMC 811,Liquid,329.0670733897137,0
Silicon-Dominant (Si),LFP,LLZO,261.5629465219606,0
Lithium-Metal,Li-Rich NMC 811,LLZO,384.8519814505325,1
Graphite,LFP,LLZO,206.86514681643257,0
Silicon-Dominant (Si),Li-Rich NMC 811,Liquid,361.0447899677832,1
Lithium-Metal,Li-Rich NMC 811,Liquid,424.75256459537695,1
Lithium-Metal,Li-Rich NMC 811,Polymer,392.921837138232,1
Lithium-Metal,NCA,LLZO,351.65728281297015,1
Silicon-Dominant (Si),LFP,Polymer,281.5513200882433,0
Lithium-Metal,LFP,Polymer,299.47450034488253,0
Silicon-Dominant (Si),LFP,Polymer,239.71324167635004,0
Silicon-Dominant (Si),Li-Rich NMC 811,Liquid,351.62369445850857,1
Graphite,NCA,LLZO,250.3201668620377,0
Silicon-Dominant (Si),Li-Rich NMC 811,LLZO,315.9908348645855,0
Graphite,NCA,LLZO,258.1581687626373,0
Silicon-Dominant (Si),NCA,LLZO,319.7333986188032,0
Graphite,LFP,Polymer,208.8958332631214,0
Silicon-Dominant (Si),LFP,Liquid,265.7666821651918,0
Silicon-Dominant (Si),NCA,LLZO,300.7632123284843,0
Lithium-Metal,NCA,LLZO,381.5427520211665,1
Silicon-Dominant (Si),Li-Rich NMC 811,Polymer,355.13685377011274,1
Silicon-Dominant (Si),LFP,Liquid,298.67294409764145,0
Silicon-Dominant (Si),NCA,LLZO,323.862285746283,0
Lithium-Metal,Li-Rich NMC 811,LLZO,402.19284696357147,1
Graphite,Li-Rich NMC 811,Polymer,287.2721895091813,0
Graphite,Li-Rich NMC 811,LLZO,275.95632457583065,0
Graphite,NCA,Liquid,283.63500529124667,0
Graphite,NCA,Liquid,310.71098381695356,0
Graphite,Li-Rich NMC 811,Polymer,306.2056919992811,0
Lithium-Metal,NCA,Liquid,400.13132756458873,1
Lithium-Metal,Li-Rich NMC 811,LLZO,407.24434618249626,1
Lithium-Metal,LFP,Polymer,317.87817569036423,0
Graphite,LFP,Polymer,222.35028774418447,0
Lithium-Metal,NCA,Polymer,400.7867911261824,1
Silicon-Dominant (Si),LFP,LLZO,242.69928255935875,0
Lithium-Metal,LFP,Liquid,340.016684612962,1
Silicon-Dominant (Si),Li-Rich NMC 811,LLZO,314.44926340967265,0
Silicon-Dominant (Si),LFP,Polymer,259.1667845165507,0
Silicon-Dominant (Si),LFP,LLZO,255.6338210198747,0
Lithium-Metal,NCA,Liquid,359.42615930415315,1
Silicon-Dominant (Si),NCA,Liquid,303.53809651049875,0
Silicon-Dominant (Si),NCA,Liquid,352.49833013512796,1
Lithium-Metal,Li-Rich NMC 811,Polymer,379.51502820274516,1
